prog	rankval	mt	iu	okp	auc
421	PIZZLY	16	4	0	0	0.17
422	PIZZLY	18	4	0	1	0.16
423	PIZZLY	14	4	1	0	0.24
424	PIZZLY	14	4	1	1	0.23
425	PIZZLY	16	5	0	0	0.2
426	PIZZLY	18	5	0	1	0.18
427	PIZZLY	14	5	1	0	0.29
428	PIZZLY	14	5	1	1	0.27
429	PIZZLY	18	6	0	0	0.21
430	PIZZLY	18	6	0	1	0.2
431	PIZZLY	15	6	1	0	0.31
432	PIZZLY	16	6	1	1	0.3
433	PIZZLY	18	7	0	0	0.23
434	PIZZLY	18	7	0	1	0.22
435	PIZZLY	16	7	1	0	0.35
436	PIZZLY	16	7	1	1	0.34
437	PIZZLY	17	8	0	0	0.24
438	PIZZLY	17	8	0	1	0.24
439	PIZZLY	15	8	1	0	0.38
440	PIZZLY	15	8	1	1	0.37
441	PIZZLY	17	9	0	0	0.25
442	PIZZLY	17	9	0	1	0.25
443	PIZZLY	15	9	1	0	0.4
444	PIZZLY	15	9	1	1	0.4
445	PIZZLY	16	10	0	0	0.28
446	PIZZLY	17	10	0	1	0.27
447	PIZZLY	15	10	1	0	0.44
448	PIZZLY	15	10	1	1	0.43
449	TrinityFusion-D	15	3	0	0	0.1
450	TrinityFusion-D	18	3	0	1	0.09
451	TrinityFusion-D	17	3	1	0	0.1
452	TrinityFusion-D	18	3	1	1	0.09
453	TrinityFusion-D	13	4	0	0	0.21
454	TrinityFusion-D	15	4	0	1	0.2
455	TrinityFusion-D	16	4	1	0	0.21
456	TrinityFusion-D	17	4	1	1	0.2
457	TrinityFusion-D	12	5	0	0	0.28
458	TrinityFusion-D	13	5	0	1	0.27
459	TrinityFusion-D	15	5	1	0	0.29
460	TrinityFusion-D	15	5	1	1	0.27
461	TrinityFusion-D	12	6	0	0	0.33
462	TrinityFusion-D	12	6	0	1	0.33
463	TrinityFusion-D	14	6	1	0	0.34
464	TrinityFusion-D	14	6	1	1	0.33
465	TrinityFusion-D	11	7	0	0	0.38
466	TrinityFusion-D	11	7	0	1	0.38
467	TrinityFusion-D	13	7	1	0	0.39
468	TrinityFusion-D	13	7	1	1	0.38
469	TrinityFusion-D	11	8	0	0	0.4
470	TrinityFusion-D	11	8	0	1	0.4
471	TrinityFusion-D	13	8	1	0	0.42
472	TrinityFusion-D	13	8	1	1	0.41
473	TrinityFusion-D	11	9	0	0	0.42
474	TrinityFusion-D	11	9	0	1	0.42
475	TrinityFusion-D	13	9	1	0	0.45
476	TrinityFusion-D	13	9	1	1	0.44
477	TrinityFusion-D	10	10	0	0	0.44
478	TrinityFusion-D	10	10	0	1	0.45
479	TrinityFusion-D	14	10	1	0	0.48
480	TrinityFusion-D	14	10	1	1	0.47
481	JAFFA-Assembly	16	3	0	0	0.09
482	JAFFA-Assembly	16	3	0	1	0.09
483	JAFFA-Assembly	18	3	1	0	0.09
484	JAFFA-Assembly	17	3	1	1	0.09
485	JAFFA-Assembly	18	4	0	0	0.15
486	JAFFA-Assembly	17	4	0	1	0.16
487	JAFFA-Assembly	18	4	1	0	0.17
488	JAFFA-Assembly	18	4	1	1	0.17
489	JAFFA-Assembly	18	5	0	0	0.19
490	JAFFA-Assembly	17	5	0	1	0.19
491	JAFFA-Assembly	18	5	1	0	0.21
492	JAFFA-Assembly	18	5	1	1	0.21
493	JAFFA-Assembly	17	6	0	0	0.22
494	JAFFA-Assembly	17	6	0	1	0.21
495	JAFFA-Assembly	18	6	1	0	0.24
496	JAFFA-Assembly	18	6	1	1	0.24
497	JAFFA-Assembly	17	7	0	0	0.24
498	JAFFA-Assembly	17	7	0	1	0.24
499	JAFFA-Assembly	18	7	1	0	0.27
500	JAFFA-Assembly	18	7	1	1	0.27
501	JAFFA-Assembly	16	8	0	0	0.25
502	JAFFA-Assembly	16	8	0	1	0.25
503	JAFFA-Assembly	18	8	1	0	0.29
504	JAFFA-Assembly	18	8	1	1	0.29
505	JAFFA-Assembly	16	9	0	0	0.26
506	JAFFA-Assembly	16	9	0	1	0.26
507	JAFFA-Assembly	18	9	1	0	0.3
508	JAFFA-Assembly	18	9	1	1	0.3
509	JAFFA-Assembly	17	10	0	0	0.27
510	JAFFA-Assembly	16	10	0	1	0.27
