progname	min_thresh	ignoreUnsure	okpara	auc
TopHat-Fusion	8	0	0	0.30
JAFFA-Assembly	8	0	0	0.25
PIZZLY	8	0	0	0.24
STARCHIP_csm10_pGm2_May012019	8	0	0	0.24
FusionHunter	8	0	0	0.18
ChimeraScan	8	0	0	0.17
JAFFA-Hybrid	8	0	0	0.16
nFuse	8	0	0	0.10
deFuse	8	0	0	0.09
EricScript	8	0	0	0.05
STAR_FUSION_v1.5	8	0	1	0.76
TrinityFusion-C	8	0	1	0.53
SOAP-fuse	8	0	1	0.51
TrinityFusion-UC	8	0	1	0.51
FUSIONCATCHER_v1.10_June192019	8	0	1	0.50
MapSplice	8	0	1	0.50
ChimPipe	8	0	1	0.47
ARRIBA_hc	8	0	1	0.44
ARRIBA	8	0	1	0.43
InFusion	8	0	1	0.43
TrinityFusion-D	8	0	1	0.40
STARSEQR	8	0	1	0.37
PRADA	8	0	1	0.32
JAFFA-Direct	8	0	1	0.30
TopHat-Fusion	8	0	1	0.30
JAFFA-Assembly	8	0	1	0.25
PIZZLY	8	0	1	0.24
STARCHIP_csm10_pGm2_May012019	8	0	1	0.24
FusionHunter	8	0	1	0.18
ChimeraScan	8	0	1	0.17
JAFFA-Hybrid	8	0	1	0.16
nFuse	8	0	1	0.10
deFuse	8	0	1	0.09
EricScript	8	0	1	0.05
STAR_FUSION_v1.5	8	1	0	0.87
ARRIBA	8	1	0	0.73
ARRIBA_hc	8	1	0	0.71
ChimPipe	8	1	0	0.58
TrinityFusion-C	8	1	0	0.58
STARSEQR	8	1	0	0.57
FUSIONCATCHER_v1.10_June192019	8	1	0	0.55
SOAP-fuse	8	1	0	0.55
TrinityFusion-UC	8	1	0	0.54
MapSplice	8	1	0	0.51
InFusion	8	1	0	0.50
STARCHIP_csm10_pGm2_May012019	8	1	0	0.44
TrinityFusion-D	8	1	0	0.42
PRADA	8	1	0	0.40
PIZZLY	8	1	0	0.38
TopHat-Fusion	8	1	0	0.37
JAFFA-Direct	8	1	0	0.32
JAFFA-Assembly	8	1	0	0.29
ChimeraScan	8	1	0	0.20
FusionHunter	8	1	0	0.18
JAFFA-Hybrid	8	1	0	0.17
nFuse	8	1	0	0.12
deFuse	8	1	0	0.11
EricScript	8	1	0	0.06
STAR_FUSION_v1.5	8	1	1	0.86
ARRIBA	8	1	1	0.71
ARRIBA_hc	8	1	1	0.69
ChimPipe	8	1	1	0.58
STARSEQR	8	1	1	0.58
TrinityFusion-C	8	1	1	0.57
FUSIONCATCHER_v1.10_June192019	8	1	1	0.54
SOAP-fuse	8	1	1	0.54
TrinityFusion-UC	8	1	1	0.53
MapSplice	8	1	1	0.51
InFusion	8	1	1	0.50
STARCHIP_csm10_pGm2_May012019	8	1	1	0.44
TrinityFusion-D	8	1	1	0.41
PRADA	8	1	1	0.40
PIZZLY	8	1	1	0.37
TopHat-Fusion	8	1	1	0.37
JAFFA-Direct	8	1	1	0.32
JAFFA-Assembly	8	1	1	0.29
ChimeraScan	8	1	1	0.20
FusionHunter	8	1	1	0.18
JAFFA-Hybrid	8	1	1	0.17
nFuse	8	1	1	0.12
deFuse	8	1	1	0.11
EricScript	8	1	1	0.06
STAR_FUSION_v1.5	9	0	1	0.75
TrinityFusion-C	9	0	1	0.55
SOAP-fuse	9	0	1	0.54
TrinityFusion-UC	9	0	1	0.53
MapSplice	9	0	1	0.52
FUSIONCATCHER_v1.10_June192019	9	0	1	0.51
ChimPipe	9	0	1	0.48
ARRIBA_hc	9	0	1	0.45
InFusion	9	0	1	0.44
ARRIBA	9	0	1	0.43
TrinityFusion-D	9	0	1	0.42
STARSEQR	9	0	1	0.38
PRADA	9	0	1	0.34
TopHat-Fusion	9	0	1	0.31
JAFFA-Direct	9	0	1	0.30
JAFFA-Assembly	9	0	1	0.26
PIZZLY	9	0	1	0.25
STARCHIP_csm10_pGm2_May012019	9	0	1	0.25
FusionHunter	9	0	1	0.20
ChimeraScan	9	0	1	0.18
JAFFA-Hybrid	9	0	1	0.17
deFuse	9	0	1	0.10
nFuse	9	0	1	0.10
EricScript	9	0	1	0.06
STAR_FUSION_v1.5	9	1	0	0.88
ARRIBA	9	1	0	0.73
ARRIBA_hc	9	1	0	0.73
TrinityFusion-C	9	1	0	0.61
ChimPipe	9	1	0	0.60
STARSEQR	9	1	0	0.59
SOAP-fuse	9	1	0	0.58
FUSIONCATCHER_v1.10_June192019	9	1	0	0.57
TrinityFusion-UC	9	1	0	0.57
MapSplice	9	1	0	0.53
InFusion	9	1	0	0.52
STARCHIP_csm10_pGm2_May012019	9	1	0	0.45
TrinityFusion-D	9	1	0	0.45
PRADA	9	1	0	0.43
PIZZLY	9	1	0	0.40
TopHat-Fusion	9	1	0	0.38
JAFFA-Direct	9	1	0	0.33
JAFFA-Assembly	9	1	0	0.30
ChimeraScan	9	1	0	0.21
FusionHunter	9	1	0	0.20
JAFFA-Hybrid	9	1	0	0.18
nFuse	9	1	0	0.12
deFuse	9	1	0	0.11
EricScript	9	1	0	0.06
