sample	prog	time_h
G27214.PC-3.1	STAR_FUSION_v1.5_hg19_Apr042019	2.64
G27214.PC-3.1	STARCHIP	0.73
G27214.PC-3.1	STARSEQR	1.69
G27214.PC-3.1	TRINITY_FUSION_C_hg19	41.45
G27214.PC-3.1	TRINITY_FUSION_hg19_Apr092019	63.83
G27214.PC-3.1	TRINITY_FUSION_D_hg19	77.25
G27214.PC-3.1	STAR_FUSION_v1.5_hg19_KICKSTART_Apr302019	0.05
G27219.Panc_03.27.1	TOPHAT_FUSION	31.69
G27219.Panc_03.27.1	SOAP_FUSE	20.96
G27219.Panc_03.27.1	CHIMERASCAN	23.30
G27219.Panc_03.27.1	PRADA	11.01
G27219.Panc_03.27.1	DEFUSE	17.29
G27219.Panc_03.27.1	ERICSCRIPT	11.54
G27219.Panc_03.27.1	FUSION_CATCHER_V0994e	6.78
G27219.Panc_03.27.1	MAPSPLICE	47.87
G27219.Panc_03.27.1	FUSIONHUNTER	8.91
G27219.Panc_03.27.1	NFUSE	12.72
G27219.Panc_03.27.1	JAFFA_ASSEMBLY	24.21
G27219.Panc_03.27.1	JAFFA_HYBRID	47.48
G27219.Panc_03.27.1	JAFFA_DIRECT	18.67
G27219.Panc_03.27.1	INFUSION_CF3	66.42
G27219.Panc_03.27.1	CHIMPIPE	20.98
G27219.Panc_03.27.1	ARRIBA	0.88
G27219.Panc_03.27.1	PIZZLY	0.55
G27219.Panc_03.27.1	STAR_FUSION_v1.5_hg19_Apr042019	2.64
G27219.Panc_03.27.1	STARCHIP	0.74
G27219.Panc_03.27.1	STARSEQR	1.67
G27219.Panc_03.27.1	TRINITY_FUSION_C_hg19	37.62
G27219.Panc_03.27.1	TRINITY_FUSION_hg19_Apr092019	76.19
G27219.Panc_03.27.1	TRINITY_FUSION_D_hg19	34.23
G27219.Panc_03.27.1	STAR_FUSION_v1.5_hg19_KICKSTART_Apr302019	0.04
G27233.A-498.1	TOPHAT_FUSION	29.85
G27233.A-498.1	SOAP_FUSE	23.41
G27233.A-498.1	CHIMERASCAN	22.03
G27233.A-498.1	PRADA	15.55
G27233.A-498.1	DEFUSE	20.70
G27233.A-498.1	ERICSCRIPT	7.22
G27233.A-498.1	FUSION_CATCHER_V0994e	8.88
G27233.A-498.1	MAPSPLICE	23.45
G27233.A-498.1	FUSIONHUNTER	9.32
G27233.A-498.1	NFUSE	6.92
G27233.A-498.1	JAFFA_ASSEMBLY	17.52
G27233.A-498.1	JAFFA_HYBRID	66.59
G27233.A-498.1	JAFFA_DIRECT	12.33
G27233.A-498.1	INFUSION_CF3	48.35
G27233.A-498.1	CHIMPIPE	22.27
G27233.A-498.1	ARRIBA	0.92
